facility_code,facility_name,lat,lng
MWPS,Morganwhyalla Pipeline,-33.97382,139.193756
MORNBESS,Mornington,-38.268707,145.204823
MORNW,Mornington Disposal,-38.392054,144.854791
MLB,Mortlake,-38.06698,142.669466
MORTLK,Mortlake,-38.063237,142.668677
MRTLSWF,Mortlake South,-38.146832,142.853134
MLWF,Mortons Lane,-37.833186,142.465288
MOUSF,Moura,-24.515007,150.087256
MEWF,Mt Emerald,-17.133248,145.380037
MTGELWF,Mt Gellibrand,-38.258519,143.802037
MTMERCER,Mt Mercer,-37.831791,143.888681
MTMILLAR,Mt Millar,-33.62534,136.703771
MP,Mt Piper,-33.358121,150.032642
MSTUART,Mt Stuart,-19.337807,146.850916
MLLFGEF,Mugga Lane,-35.395092,149.145414
MLSP,Mugga Lane,-35.399485,149.1454
MULWASF,Mulwala,-35.958258,146.007893
MM,Munmorah,-33.211781,151.542161
MUCRKSF,Munna Creek,-25.882106,152.459626
MUWAWF,Murra Warra,-36.438821,142.246003
MURRAY,Murray,-36.24683,148.1902
MBPS2,Murray Bridge-Onkaparinga,-35.096848,139.209527
MUSSELRO,Musselroe,-40.780012,148.010283
MUSWELLBROOK,Muswellbrook,-32.251183,150.946782
NASF,Narromine,-32.220895,148.255308
NEVERSF,Nevertire,-31.822603,147.703086
NEWENSF,New England,-30.627323,151.556425
NESBESS1,New England 1,-30.626481,151.616
NESBESS2,New England 2,-30.626481,151.616
NEWPORT,Newport,-37.841423,144.894923
NBHWF,North Brown Hill,-33.228116,138.716888
NORTHGT,Northern,,
NORTHP,Northern,-32.5429,137.7874
NUMURKSF,Numurkah,-36.161038,145.476491
NYNGAN,Nyngan,-31.555475,147.08622
OAKEY,Oakey,-27.418268,151.680205
OAKEY2SF,Oakey 2,-27.402454,151.642576
OAKEY1SF,Oakey Solar Farm,-27.410516,151.652849
OAKLAND,Oaklands Hill,-37.681514,142.552322
OCPS,Oaky Creek,-23.048717,148.484462
OAKY2,Oaky Creek 2,-23.048717,148.484462
ORABESS,Orana,-32.530421,148.962923
OSBORNE,Osborne,-34.797702,138.50779
PALMERWF,Palmer,-34.815865,139.118654
PALOONA,Paloona,-41.282674,146.249036
PSF,Parkes,-33.117567,148.078825
PEDLER,Pedler Creek,-35.202388,138.501214
NPPPPS,Pelican Point,-34.765325,138.505402
PPBESS,Pelican Point,-34.765891,138.504806
PIBESS,Phillip Island,-38.483293,145.22488
PINDARI,Pindari,-29.388034,151.244774
PLBESS,Pine Lodge,-36.364749,145.531561
PIONEER,Pioneer Sugar Mill,-19.557546,147.330825
PLAYF,Playford B,-32.538886,137.781822
PTINA,Poatina,-41.811531,146.919117
PAREPW,Port Augusta Energy Park,-32.595609,137.885629
PLWF,Port Latta,-40.871168,145.357293
PORTLATT,Port Latta,-40.857362,145.384824
PORTLCN,Port Lincoln,-34.700389,135.804384
STANVAC,Port Stanvac,-35.110332,138.49135
PORTWF,Portland,-38.361417,141.38456
QUARANTN,Quarantine,-34.779339,138.522883
QUERIVER,Que River,-41.610502,145.544305
QBYNB,Queanbeyan,-35.339311,149.215101
QP,Quorn Park,-33.079517,148.089521
RACOMIL,Racecourse Mill,-21.163842,149.135738
RANGEB,Rangebank,-38.085056,145.259936
REDBANK1,Redbank,-32.58,151.072
REECE,Reece,-41.723739,145.136012
RPBESS,Reeves Plains,-34.502918,138.614457
REMOUNT,Remount,-41.398447,147.1495
REPULSE,Repulse,-42.507691,146.647
RIVERINASF,Riverina,-34.309852,146.105225
RESS,Riverina 1,-34.646349,146.035015
RIVNB,Riverina 2,-34.646349,146.035015
ROCHEDAL,Rochedale,-27.555798,153.123155
RPCG,Rocky Point Cogen,-27.733564,153.326464
EDLRGNRD,Roghan Road,-27.342062,153.049494
ROMA,Roma,-26.577126,148.84009
RRSF,Ross River,-19.42622,146.715299
ROWALLAN,Rowallan,-41.729547,146.217649
ROYALLA,Royalla,-35.489826,149.142704
RUBICON,Rubicon,-37.292453,145.818202
RUGBYR,Rugby Run,-22.142401,147.928736
RYANCWF,Ryan Corner,-38.271156,142.14003
RYEPARK,Rye Park,-34.63317,148.95364
SALTCRK,Salt Creek,-37.930719,142.773524
SAPHWF1,Sapphire,-29.710273,151.44558
SEBSF,Sebastopol,-34.609386,147.557888
SHEP1,Shepparton,-36.322223,145.379291
SHOALHAV,Shoalhaven,-34.733085,150.4667
SHOAL,Shoalhaven Starches,-34.8547,150.6138
STWF,Silverton,-31.86095,141.296349
SITHE,Smithfield,-33.849945,150.94941
SMTHBES1,Smithfield,-33.849972,150.947448
SMOKY,Smoky Creek,-24.120592,150.504411
SNAPPER,Snapper Point,-34.764433,138.508149
SNOWTOWN,Snowtown,-33.691598,138.166022
SNOWNTH,Snowtown North,-33.756479,138.143043
SNOWSTH,Snowtown South,-33.862624,138.130367
SNOWY4,Snowy,,
SNOWY5,Snowy,,
SNOWY20,Snowy 2.0,-35.745207,148.653852
SNUG,Snuggery,-37.664996,140.414686
AGLSOM,Somerton,-37.631692,144.952802
SKSF,South Keswick,-32.272801,148.659285
STHBKTEC,Southbank Institute Of Technology,-27.480589,153.020999
SVALE,Springvale,-37.973375,145.139695
STGEORGE,St George Leagues Club,-33.974819,151.129354
SLDCBLK,St Leonards Data Centre,-41.440151,147.174429
STABESS,Stanwell,-23.513568,150.31811
STANWELL,Stanwell,-23.507452,150.313355
STAPYLTON,Stapylton,-27.736111,153.245931
STARFHILL,Starfish Hill,-35.578983,138.139653
STOCKYD,Stockyard Hill,-37.53568,143.252548
STUBSF,Stubbo,-32.26254,149.589068
SMFBESS1,Summerfield 1,-34.9538,139.21502
SMFBESS2,Summerfield 2,-34.958457,139.2099
SMCSF,Sun Metals,-19.332335,146.875929
SUNCOAST,Suncoast Gold Macadamias,,
SUNRSF1,Sunraysia,-34.804891,143.491185
VALDORA,Sunshine Coast,-26.560094,153.02574
SUNTPSF,Suntop,-32.583514,148.826931
SNB1,Supernode,-27.458521,153.111745
SUPERNODE2,Supernode 2,-27.449227,153.112538
SNB3,Supernode 3,-27.447731,153.113869
SRSF,Susan River,-25.419331,152.741687
SWANBBF,Swanbank,-27.65619,152.817139
SWAN_B,Swanbank B,-27.655286,152.818644
SWAN_E,Swanbank E,-27.655138,152.817933
TABMILL2,Tableland Mill,-17.119813,145.34513
TAHMOOR,Tahmoor,-34.249117,150.577718
TBSF,Tailem Bend,-35.271346,139.488379
TB2SF,Tailem Bend 2,-35.28,139.49
TBBESS3,Tailem Bend 3,-35.271112,139.487793
TALLAWAR,Tallawarra,-34.522808,150.807237
TALWB,Tallawarra B,-34.522808,150.807237
TVCCPS,Tamar Valley,-41.140348,146.904872
TARALGA,Taralga,-34.431428,149.865258
TARBESS,Tarong,-26.780561,151.910086
TARONG,Tarong,-26.784086,151.914537
TARONGN,Tarong North,-26.774391,151.914007
TARRALEA,Tarraleah,-42.301224,146.457294
TATIARA,Tataria,-36.326977,140.737035
TATURA,Tatura,-36.47915,145.235037
TEATREE,Tea Tree Gully,,
TEMPB,Templers,-34.46293,138.764848
SATGN,Temporary Generation North,-34.719707,138.668425
SATGS,Temporary Generation South,-35.096799,138.483997
TERALBA,Teralba,-32.945557,151.612042
TERANGBESS,Terang,-38.231839,142.933262
TERMSTOR,Terminal,-34.84014,138.712137
BLUFF,The Bluff,-33.367741,138.79379
THEDROP,The Drop,-35.973527,145.999274
TILBSF,Tilbuster,-30.382963,151.658909
TIMWEST,Timboon West,-38.528351,142.916231
TOMAGOBESS,Tomago,-32.814277,151.706523
TOORAWF,Toora,-38.653258,146.340154
TIB,Torrens Island,-34.802305,138.520262
TORRIS,Torrens Island,-34.80651,138.523127
TOWER,Tower,-34.219461,150.718012
YABULU,Townsville,-19.20127,146.618573
TGNSS,Traralgon Network Support,-37.833513,144.965955
TREVALLN,Trevallyn,-41.42262,147.111785
TRIBUTE,Tribute,-41.815832,145.650178
TULLYSM,Tully Sugar Mill,-17.937329,145.92739
SNOWY2,Tumut,-35.952003,148.367255
TUMUT3,Tumut 3,-35.611138,148.29175
TUNGATIN,Tungatinah,-42.296802,146.456568
ULBESS,Ulinda Park,-26.92635,150.717472
URANQ,Uranquinty,-35.180061,147.21567
UUNGULAWF,Uungula,-32.551969,149.161325
VP,Vales Point B,-33.16078,151.543985
VPGS,Valley Power Peaking,-38.253709,146.588886
TITREE,Veolia Ti Tree,-27.695551,152.650313
VICMILL,Victoria Mill,-18.650208,146.200866
VBB,Victorian Big Battery,-38.038278,144.290383
WAGGNSF,Wagga North,-35.070575,147.438807
WLWLSF,Walla Walla,-35.747397,146.96666
WW,Wallerawang,-33.403889,150.084444
WALGRV,Wallgrove,-33.813917,150.830827
WAMBOWF,Wambo,-26.603045,151.246876
WANDSF,Wandoan,-26.248848,149.765988
WANDBG,Wandoan South,-26.261526,149.765738
WNSF,Wangaratta,-36.326757,146.359901
WTAHB,Waratah Super Battery,-33.209781,151.544911
WG,Warragamba,-33.882862,150.596954
WARWSF,Warwick,-28.183037,152.071764
WATERLWF,Waterloo,-34.001298,138.91088
WPWF,Wattle Point,-35.110379,137.705789
WAUBRAWF,Waubra,-37.357446,143.603659
WELLSF1,Wellington,-32.5207,148.9675
WELNSF,Wellington North,-32.514353,148.957634
WEMENSF1,Wemen,-34.799853,142.547621
WESTILLA,West Illawarra Leagues Club,-34.451645,150.843037
WKIEWA,West Kiewa,-36.759974,147.185812
AGLNOW1,West Nowra,-34.882318,150.551075
WSTWYSF,West Wyalong,-33.809655,147.325015
WDBESS,Western Downs,-26.952278,150.690528
WDGPH,Western Downs,-26.955534,150.67862
WDBESS2,Western Downs 2,-26.951989,150.694141
WDBESS3,Western Downs 3,-26.952008,150.694188
WESTCBT,Western Suburbs League Club,-34.051073,150.832757
WRSF1,White Rock Solar Farm,-29.764429,151.553007
WRWF1,White Rock Wind Farm,-29.7718,151.5755
WHITSF,Whitsunday,-20.492712,147.756358
WHIT1,Whitwood Road,-27.620454,152.824409
WILGAPK,Wilga Park,-30.363284,149.677422
WILGAPKB,Wilga Park B,-30.363284,149.677422
WILLHOV,William Hovel,-36.925216,146.389418
0WDBESS,Williamsdale,-35.57458,149.131993
WGWF,Willogoleche,-33.413128,138.845663
NINEWIL,Willoughby,-33.810858,151.196599
WINDHILL,Windy Hill,-17.590399,145.52968
WINGF1,Wingfield,-34.835138,138.548949
WINGF2,Wingfield 2,-34.835138,138.548949
WINTSF1,Winton,-36.503538,146.124102
0WNSF,Winton North,-36.499717,146.114153
WIVENHOE,Wivenhoe,-27.372417,152.63203
WIVENSH,Wivenhoe,-27.394592,152.609237
WOLARSF,Wollar,-32.407631,149.940737
WOLLERT,Wollert,-37.591792,145.043033
WONWP,Wonthaggi,-38.60513,145.546292
WDLNGN,Woodlawn,-35.05928,149.5749
WOODLWN,Woodlawn,-35.081675,149.570511
WOOLNTH1,Woolnorth,-40.786606,144.738536
WOOLGSF,Woolooga,-26.075843,152.437448
WOORBESS,Wooreen,-38.27376,146.427729
WOYWOY,Woy Woy,-33.506914,151.291606
WUNUSF,Wunghnu,-36.164387,145.403731
WYASF,Wyalong,-33.887269,147.315314
WYANGALA,Wyangala A,-33.968824,148.948823
WYANGALB,Wyangala B,-33.968824,148.948823
WYNDW,Wyndham,-37.935372,144.5898
YALLOURN,Yallourn W,-38.177589,146.342556
YSWF,Yaloak South,-37.716474,144.241947
YAMBUK,Yambuk,-38.305278,142.018439
YARANSF,Yarranlea,-27.709261,151.533038
YWNGAHYD,Yarrawonga,-36.009466,145.999568
YARWUN,Yarwun,-23.8309,151.151136
YATSF1,Yatpool,-34.396363,142.173809
YAWWF,Yawong,-36.471022,143.361722
YENDONWF,Yendon,-37.630407,144.023136
