facilityName,type,state,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,primaryFuel,year
Yiyili Power Station & Distribution Network,F,WA,848.0,642.0,0.0,642,0.76,Diesel,2024
Yungngora Power Station & Yungngora Distribution Network,F,WA,2125.0,1295.0,0.0,1295,0.61,Diesel,2024
Wonthaggi Wind Farm,F,VIC,24560.0,4.0,36.0,40,0.0,Wind,2024
Yarranlea Solar Farm,F,QLD,204101.0,26.0,0.0,26,0.0,Solar,2024
Limondale Solar Farm,F,NSW,534637.0,119.0,2256.0,2375,0.0,Solar,2024
Salt Creek Wind Farm,F,VIC,117088.0,54.0,518.0,572,0.0,Wind,2024
Wilga Park Power Station,F,NSW,148576.0,83961.0,1.0,83962,0.57,Coal Seam Methane,2024
Sebastopol Solar Farm,F,NSW,180287.0,17.0,0.0,17,0.0,Solar,2024
Baking Board Solar Farm,F,QLD,36774.0,17.0,64.0,81,0.0,Solar,2024
Karratha Solar Farm,F,WA,850.0,0.0,2.0,2,0.0,Solar,2024
Maryrorough Solar Farm,F,QLD,61829.0,17.0,90.0,107,0.0,Solar,2024
Mount Majura Solar Farm,F,ACT,1857.0,0.0,0.0,0,0.0,Solar,2024
Swan Hill Solar Farm,F,VIC,27833.0,2.0,54.0,56,0.0,Solar,2024
Williamsdale Solar Farm,F,ACT,8452.0,2.0,21.0,23,0.0,Solar,2024
Vales Point Power Station,F,NSW,7260315.0,7043816.0,68147.0,7111963,0.97,Black Coal,2024
Gangarri Solar Farm,F,QLD,197666.0,86.0,633.0,719,0.0,Solar,2024
