powerStation,state,postcode,MWCapacity,fuelSource,year,lat,lng
Region Group Kwinana 1,WA,6167.0,1.1908,Solar,2025.0,-32.2320792,115.7787256
Riverwood CCP,NSW,2210.0,0.1255,Solar,2025.0,-33.94538,151.0534022
Sydney City Toyota Waterloo,NSW,2017.0,0.4541,Solar,2025.0,-33.8998657,151.2108116
Timberjack 10 International Square,VIC,3043.0,0.2357,Solar,2025.0,-37.6950384,144.8696538
Timberjack 11 International Square,VIC,3043.0,0.1732,Solar,2025.0,-37.6950519,144.8706294
Timberjack Bliss Court Derrimut,VIC,3026.0,0.6201,Solar,2025.0,-37.8022288,144.7811265
Uppal Produce,VIC,3616.0,0.1496,Solar,2025.0,-36.4459892,145.2917087
Koorelah Farms,QLD,4805.0,0.4061,Solar,2025.0,-19.9871737,148.2173483
Woolworths Norwest Circa 1422,NSW,2153.0,0.3001,Solar,2025.0,-33.7316522,150.9665906
Ashburton Aboriginal Corporation,WA,6751.0,0.7268,Solar,2025.0,-20.4088832,118.5988562
Bunnings Nunawading,VIC,3131.0,0.26,Solar,2025.0,-37.8192782,145.1668845
Eastern Creek,NSW,2766.0,4.268,Landfill Gas,2025.0,-33.8102184,150.85064
Gunnedah 2A Solar Farm,NSW,2380.0,6.048,Solar,2025.0,-30.97943189999999,150.2565037
Hemmant 1+3 Lineage Logistics,QLD,4174.0,1.518,Solar,2025.0,-27.4455473,153.1258815
Raymond Terrace,NSW,2324.0,0.2224,Solar,2025.0,-32.7573408,151.748173
Scalabrini Griffith,NSW,2680.0,0.2195,Solar,2025.0,-34.3007412,146.0772835
Wambo Wind Farm Stage 1,QLD,4410.0,252.0,Wind,2025.0,-26.6361785,151.2697887
Woolworths Merimbula 1250,NSW,2548.0,0.3656,Solar,2025.0,-36.8880702,149.9062981
SH LEASEHOLD PTY LTD,SA,5096.0,0.198,Solar,2025.0,-30.0002315,136.2091547
GPE_DB Santasalo,NSW,2516.0,0.5323,Solar,2025.0,-31.2532183,146.921099
Kwinana WTE,WA,6167.0,42.0,Biomass-Based Components of Municipal Solid Waste,2025.0,-32.2320792,115.7787256
Murrumbidgee,NSW,2716.0,7.125,Solar,2025.0,-34.6513496,145.7578403
PCCS,NSW,2486.0,0.1795,Solar,2025.0,-31.2532183,146.921099
Region Group Kwinana 2,WA,6167.0,1.1899,Solar,2025.0,-32.2320792,115.7787256
Bunnings Mentone,VIC,3194.0,0.1802,Solar,2025.0,-37.976882,145.069535
Equinex SY9,NSW,2142.0,0.4904,Solar,2025.0,-31.2532183,146.921099
HomeCo Braybrook,VIC,3019.0,0.14,Solar,2025.0,-37.7781337,144.8509028
HomeCo Bundall,QLD,4217.0,0.33,Solar,2025.0,-28.0053912,153.412885
Bunnings Lawnton,QLD,4501.0,0.1599,Solar,2025.0,-27.288078,152.9853359
Omya Bajool,QLD,4699.0,0.546,Solar,2025.0,-23.8102576,150.6475451
Bunnings Alexandria,NSW,2015.0,0.456,Solar,2025.0,-33.9057744,151.1936904
"Chisholm Rd, Auburn",NSW,2144.0,0.2069,Solar,2025.0,-33.8637456,151.0185357
Hillwood Berries,QLD,4670.0,0.2679,Solar,2025.0,-24.745633,152.158959
Bunnings Hoppers Crossing,VIC,3029.0,0.1802,Solar,2025.0,-37.875053,144.7132612
Energy Bay,NSW,2179.0,0.4385,Solar,2025.0,-33.8658285,151.2122067
GPE SURYA ENTERPRISES GOLD COAST,VIC,3925.0,0.1989,Solar,2025.0,-27.9769248,153.380936
Greentech 7 Solar Farm & BESS,VIC,3380.0,8.5068,Solar,2025.0,-36.9847807,143.3906074
Minter Magic Packing Shed Iraak,VIC,3494.0,0.1998,Solar,2025.0,-34.4119394,142.3077203
Seventh,NSW,2147.0,0.1544,Solar,2025.0,-31.2532183,146.921099
Treeby Parklands Care Community,WA,6164.0,0.2296,Solar,2025.0,-32.1217002,115.8786468
Western Port Bay Care Community,VIC,3913.0,0.1997,Solar,2025.0,-38.263925,145.193554
Bunnings Ballarat,VIC,3350.0,0.1802,Solar,2025.0,-37.5916214,143.8076827
Goodman AU702 Axle West,NSW,2766.0,0.655,Solar,2025.0,-34.8763449,150.5928931
Pillow Talk Darra – Solar wSGU – Qld,QLD,4076.0,0.3998,Solar,2025.0,-27.5644875,152.9621083
SOC Osborne Park,WA,6017.0,0.2996,Solar,2025.0,-31.903217,115.8185354
Temora 1C Solar Farm,NSW,2666.0,6.1212,Solar,2025.0,-34.4468114,147.533896
Harvey Norman Maroochydore Homemaker,QLD,4558.0,0.4536,Solar,2025.0,-26.6604162,153.0839286
Spreyton,TAS,7310.0,0.1743,Solar,2025.0,-41.2175876,146.3450276
