facilityName,type,state,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,primaryFuel,year,lat,lng
Bremer Bay Wind Diesel System,FA,WA,1851.0,220.0,3.0,223,0.12,Wind/Diesel,2015,-34.3928168,119.378766
Cockburn Power Station,F,WA,658150.0,260404.0,0.0,260404,0.4,Gas,2015,-32.2003779,115.7740725
Collie Power Station,F,WA,2239388.0,2024283.0,3244.0,2027527,0.9,Black Coal,2015,-33.341898,116.2622544
Coral Bay Wind Diesel System,FA,WA,3366.0,1813.0,0.0,1813,0.54,Wind/Diesel,2015,-23.1422976,113.7723112
Denham Wind Farm,F,WA,1909.0,0.0,1.0,1,0.0,Wind,2015,-25.9282531,113.5398582
Esperance Wind Farm,F,WA,14681.0,0.0,8.0,8,0.0,Wind,2015,-33.8613953,121.8912724
Geraldton Gas Turbine Station,F,WA,22.0,29.0,0.0,29,1.31,Gas,2015,-28.7761346,114.611295
Hopetoun Wind Diesel System,FA,WA,5476.0,2671.0,0.0,2671,0.49,Wind/Diesel,2015,-33.9216173,120.1350156
Kalbarri Photovoltaic,F,WA,23.0,0.0,4.0,4,0.0,Solar,2015,-27.7112189,114.1661361
Kalbarri Wind Farm,F,WA,4206.0,0.0,6.0,6,0.0,Wind,2015,-27.8983075,114.1945476
Kalgoorlie Gas Turbine Station,F,WA,1872.0,1751.0,0.0,1751,0.94,Gas,2015,-30.749,121.466
Kwinana Power Station,F,WA,977810.0,602488.0,700.0,603188,0.62,Gas,2015,-32.2002686,115.7759049
Muja Power Station,F,WA,3842076.0,3744318.0,1655.0,3745973,0.97,Black Coal,2015,-33.446204,116.3065633
Mungarra Gas Turbine Station,F,WA,96890.0,82909.0,0.0,82909,0.86,Gas,2015,-22.6849341,117.7945579
Pinjar Gas Turbine Station,F,WA,464041.0,376980.0,0.0,376980,0.81,Gas,2015,-31.62058739999999,115.8208094
South West Cogeneration Joint Venture,F,WA,991369.0,623890.0,37.0,623927,0.63,Gas,2015,-34.0556829,116.0413889
Ravensthorpe Power Station,F,WA,195.0,138.0,0.0,138,0.71,Liquid Fuel,2015,-33.5817351,120.0470727
Energy Impact - Bromelton Peak Generation Plant,F,QLD,1874.0,1402.0,427.0,1829,0.75,Liquid Fuel,2015,-27.981644,152.9673844
Energy Impact - Generation,F,QLD,1146.0,799.0,0.0,799,0.7,Liquid Fuel,2015,-22.575197,144.0847926
