facility_name,facility_code,lat,lng,state,fuel_list
Lucas Heights 2,LUCAS2S2,-34.044088,150.972475,NSW,['Landfill Gas']
Macarthur,MACARTH,-38.043483,142.179081,VIC,['Wind']
Mackay,MACKAY,-21.144441,149.159171,QLD,"['Diesel', 'Solar']"
Mackintosh,MACKNTSH,-41.701363,145.646558,TAS,['Hydro']
Manildra,MANSLR,-33.172831,148.71824,NSW,['Solar']
Maroona,MAROOWF1,-37.41875,142.82434,VIC,['Wind']
Maryrorough,MARYRSF,-27.708973,151.546869,QLD,['Solar']
Maryvale,0MARYVALE,-32.465112,148.913306,NT,['Diesel']
Meadowbank,MEADOWBK,-42.610835,146.846388,TAS,['Hydro']
Midlands,MIDLDPS,-42.085747,147.274558,TAS,"['Hydro', 'Solar']"
Millmerran,MILLMERN,-27.961657,151.28091,QLD,['Black Coal']
Mintaro,MINTARO,-33.903149,138.738797,SA,['Gas']
Molong,MOLNGSF1,-33.082578,148.900073,NSW,['Solar']
Moorabool,MOORAWF1,-37.739433,144.171985,VIC,['Wind']
Moranbah,MORANBAH,-21.962469,148.006004,QLD,"['Coal Seam Methane', 'Waste Coal Mine Gas']"
Moranbah North,MBAHNTH,-21.978481,148.004809,QLD,['Waste Coal Mine Gas']
Moree,MOREESF,-29.572607,149.861266,NSW,['Solar']
Moree,MOREESF,-29.572607,149.861266,SA,['Solar']
Mornington,0MORNBESS,-38.268707,145.204823,VIC,"['Landfill Gas', 'Solar']"
Mortlake,0MRTLKBESS,-38.06698,142.669466,VIC,"['Gas', 'Wind']"
Mortlake,MORTLK,-38.062628,142.66633,VIC,"['Gas', 'Wind']"
Mortlake South,MRTLSWF,-38.147965,142.882246,VIC,['Wind']
Mortons Lane,MLWF,-37.833186,142.465288,ACT,['Wind']
Mortons Lane,MLWF,-37.833186,142.465288,VIC,['Wind']
Mt Gellibrand,MTGELWF,-38.257657,143.798651,VIC,['Wind']
Mt Mercer,MTMERCER,-37.847593,143.870183,VIC,['Wind']
Mt Millar,MTMILLAR,-33.619342,136.717568,SA,['Wind']
Mt Piper,MP,-33.360715,150.035698,NSW,['Black Coal']
Mt Stuart,MSTUART,-19.337156,146.851239,QLD,"['Kerosene', 'Diesel']"
Mugga Lane,MLLFGEF,-35.38517,149.137937,ACT,['Landfill Gas']
Mugga Lane,MLSP,-35.398441,149.14906,ACT,['Landfill Gas']
Murra Warra,MUWAWF,-36.438821,142.246003,VIC,['Wind']
Murray,MURRAY,-36.245992,148.188552,NT,['Diesel']
Murray,MURRAY,-36.245992,148.188552,QLD,['Diesel']
Musselroe,MUSSELRO,-40.777105,148.006315,TAS,['Wind']
Nevertire,NEVERSF,-31.831044,147.705178,NSW,['Solar']
New England,NEWENSF,-30.627323,151.556425,NSW,"['Solar', 'Solar']"
Newport,NEWPORT,-37.841374,144.895479,VIC,['Gas']
Northern,NORTHP,-32.5429,137.7874,NT,"['Multiple sources', 'Solar']"
Numurkah,NUMURKSF,-36.159275,145.473891,VIC,"['Solar', 'Solar']"
Nyngan,NYNGAN,-31.563191,147.074195,NSW,['Solar']
Oakey,OAKEY,-27.418207,151.678887,NSW,['Solar']
Oakey,OAKEY,-27.418207,151.678887,QLD,"['Gas', 'Solar']"
Oakey 2,OAKEY2SF,-27.402454,151.642576,QLD,['Solar']
Oaklands Hill,OAKLAND,-37.679481,142.552995,VIC,['Wind']
Oaky Creek,OCPS,-23.048717,148.484462,QLD,"['Coal Seam Methane', 'Waste Coal Mine Gas']"
Osborne,OSBORNE,-34.7977,138.508099,SA,"['Gas', 'Solar']"
Paloona,PALOONA,-41.28268,146.24858,TAS,['Hydro']
Parkes,PSF,-33.113056,148.076372,WA,"['Gas/Diesel', 'Gas']"
Pedler Creek,PEDLER,-35.202388,138.501214,SA,['Landfill Gas']
Pelican Point,NPPPPS,-34.764365,138.505399,SA,['Gas']
