powerStation,state,postcode,MWCapacity,fuelSource,Accreditation start date,Approval date,inSheet,Committed Date (Month/Year)
Wathagar Solar NSW (Stage 2),NSW,,27.0,Solar,,,Committed,2025-07-24
King Rocks Wind Farm,WA,,105.0,Wind,,,Committed,2025-10-21
Blind Creek Solar Farm,NSW,,300.0,Solar,,,Committed,2025-11-11
Waddi Wind Farm,WA,,108.0,Wind,,,Committed,2025-12-16
Carmody's Hill Wind Farm,SA,,247.0,Wind,,,Committed,2025-12-19
Delburn Wind Farm,VIC,,205.0,Wind,,,Committed,2025-12-23
Palmer Wind Farm,SA,,288.0,Wind,,,Committed,2026-01-08
Nullagine Wind Farm,WA,,133.0,Wind,,,Committed,2026-01-15
Dunedoo Solar Farm,NSW,,55.0,Solar,,,Committed,2026-03-02
Project Helios - Phase 1,WA,,30.0,Solar,,,Committed,2026-03-04
Solomon Airport Solar Farm,WA,,440.0,Solar,,,Committed,2026-03-09
Project Jinbi Solar Farm,WA,,75.0,Solar,,,Committed,2026-05-11
Muswellbrook Solar Farm,NSW,,135.0,Solar,,,Committed,2026-05-19
Guthrie's Gap Solar Power Station,QLD,,300.0,Solar,,,Committed,2026-05-20
Smoky Creek Solar Power Station,QLD,,300.0,Solar,,,Committed,2026-05-20
Turner River Solar Hub,WA,,690.0,Solar,,,Committed,2026-05-25
Yanco Delta Wind Farm,NSW,,1500.0,Wind,,,Probable,
Baldon Wind Farm,NSW,,1400.0,Wind,,,Probable,
Bungaban Wind Farm,QLD,,1400.0,Wind,,,Probable,
Theodore Wind Farm,QLD,,1152.0,Wind,,,Probable,
Upper Calliope Solar Farm,QLD,,1100.0,Solar,,,Probable,
Bullawah Wind Farm,NSW,,1000.0,Wind,,,Probable,
Tathra Wind Farm,WA,,1000.0,Wind,,,Probable,
Valley of the Winds,NSW,,936.0,Wind,,,Probable,
Dinawan Solar Farm,NSW,,800.0,Solar,,,Probable,
Bulli Creek Solar project Stage 1,QLD,,775.0,Solar,,,Probable,
Clarke Creek Wind Farm Stage 2,QLD,,704.0,Wind,,,Probable,
Sandy Creek Solar Farm,NSW,,700.0,Solar,,,Probable,
Spicers Creek Wind Farm,NSW,,700.0,Wind,,,Probable,
Liverpool Range Wind Stage 1,NSW,,634.0,Wind,,,Probable,
Birriwa Solar and Battery Project,NSW,,600.0,Solar,,,Probable,
Hexham Wind Farm,VIC,,600.0,Wind,,,Probable,
Kentbruck Green Power Hub,VIC,,600.0,Wind,,,Probable,
Whyte Yarcowie Wind Farm,SA,,600.0,Wind,,,Probable,
Junction Rivers Wind Farm,NSW,,585.0,Wind,,,Probable,
Marri Wind Farm,WA,,550.0,Wind,,,Probable,
Tallawang Solar Farm,NSW,,500.0,Solar,,,Probable,
Yathroo Wind Farm,WA,,500.0,Wind,,,Probable,
Parron Maam Marang Farm,WA,,490.0,Wind,,,Probable,
Merino Solar Farm,NSW,,450.0,Solar,,,Probable,
Willatook Wind Farm,VIC,,450.0,Wind,,,Probable,
Corop Solar Farm,VIC,,440.0,Solar,,,Probable,
Tarong West Wind Project,QLD,,436.5,Wind,,,Probable,
Boddington Giga Energy,WA,,400.0,Solar,,,Probable,
Punchs Creek Solar Farm,QLD,,400.0,Solar,,,Probable,
Gawara Baya Wind Farm,QLD,,399.0,Wind,,,Probable,
Gundary Solar Farm,NSW,,380.0,Solar,,,Probable,
Middlebrook Solar Farm,NSW,,363.0,Solar,,,Probable,
Moah Creek Wind Farm,QLD,,360.0,Wind,,,Probable,
Dinawan Wind Farm Stage 1,NSW,,357.0,Wind,,,Probable,
Cellars Hill Wind Farm,TAS,,350.0,Wind,,,Probable,
Eurimbula Solar Farm,QLD,,350.0,Solar,,,Probable,
Killawarra Hybrid Project,WA,,350.0,Wind,,,Probable,
Mount Hopeful Wind Farm,QLD,,350.0,Wind,,,Probable,
Goyder North Wind Farm Stage 1,SA,,300.0,Wind,,,Probable,
Nowingi Solar Power Station,VIC,,300.0,Solar,,,Probable,
Port Augusta Energy Park Stage 2,SA,,300.0,Solar,,,Probable,
West Mokoan Solar Farm,VIC,,300.0,Solar,,,Probable,
Northern Midlands Solar Farm,TAS,,288.0,Solar,,,Probable,
Coppabella Wind Farm,NSW,,284.0,Wind,,,Probable,
Lower Wonga Solar Farm project,QLD,,281.0,Solar,,,Probable,
Banana Range Wind Farm,QLD,,280.0,Wind,,,Probable,
Wattle Creek Solar Farm,NSW,,265.0,Solar,,,Probable,
Kalgoorlie Regional Renewable Energy Project (Wind),WA,,256.0,Wind,,,Probable,
Bendemeer Energy Hub - Solar,NSW,,252.0,Solar,,,Probable,
