reportingEntity,facilityName,type,state,electricityProductionGJ,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,gridConnected,grid,primaryFuel,importantNotes,year
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalgoorlie Gas Turbine Station,F,WA,1235.0,343.0,,,322.0,0.94,,SWIS,Gas,,2017
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kwinana Power Station,F,WA,2377560.0,660433.0,,,356083.0,0.54,,SWIS,Gas,,2017
ELECTRICITY GENERATION AND RETAIL CORPORATION,Muja Power Station,F,WA,18548777.0,5152438.0,,,4744514.0,0.92,,SWIS,Black Coal,,2017
ELECTRICITY GENERATION AND RETAIL CORPORATION,Mungarra Gas Turbine Station,F,WA,47743.0,13262.0,,,9974.0,0.75,,SWIS,Gas,,2017
ELECTRICITY GENERATION AND RETAIL CORPORATION,Pinjar Gas Turbine Station,F,WA,1840049.0,511125.0,,,420822.0,0.82,,SWIS,Gas,,2017
ELECTRICITY GENERATION AND RETAIL CORPORATION,Corporate Total,C,,32575015.0,9048615.0,,,7683392.0,,,,,,2017
ELECTRICITY NETWORKS CORPORATION,Ravensthorpe Power Station,F,WA,500.0,139.0,,,95.0,0.68,,SWIS,Liquid Fuel,,2017
ELECTRICITY NETWORKS CORPORATION,Corporate Total,C,,500.0,139.0,,,95.0,,,,,,2017
ENERGY QUEENSLAND LIMITED,Barcaldine Power Station Facility,F,QLD,14190.0,3942.0,,,6514.0,1.65,,NEM,Gas,,2017
ENERGY QUEENSLAND LIMITED,Energy Impact - Bromelton Peak Generation Plant - Facility,F,QLD,7261.0,2017.0,,,1945.0,0.76,,NEM,Liquid Fuel,,2017
ENERGY QUEENSLAND LIMITED,Energy Impact - Generation - Facility,F,QLD,4479.0,1244.0,,,876.0,0.7,,NEM,Liquid Fuel,,2017
ENERGY QUEENSLAND LIMITED,Corporate Total,C,,25930.0,7203.0,,,9335.0,,,,,,2017
ENERGYAUSTRALIA HOLDINGS LIMITED,Cathedral Rocks Wind Farm,F,SA,551476.0,153188.0,,,174.0,0.0,,NEM,Wind,,2017
ENERGYAUSTRALIA HOLDINGS LIMITED,Hallett Power Station,F,SA,166512.0,46253.0,,,50146.0,1.04,,NEM,Gas,,2017
ENERGYAUSTRALIA HOLDINGS LIMITED,Mt Piper Power Station,F,NSW,27207372.0,7557603.0,,,6594820.0,0.87,,NEM,Black Coal,,2017
ENERGYAUSTRALIA HOLDINGS LIMITED,Tallawarra Power Station,F,NSW,2890911.0,803031.0,,,316063.0,0.39,,NEM,Gas,,2017
ENERGYAUSTRALIA HOLDINGS LIMITED,Waterloo Wind Farm,F,SA,1113109.0,309197.0,,,320.0,0.0,,NEM,Wind,,2017
ENERGYAUSTRALIA HOLDINGS LIMITED,Yallourn Power Station,F,VIC,41305814.0,11473837.0,,,14985752.0,1.29,,NEM,Brown Coal,,2017
ENERGYAUSTRALIA HOLDINGS LIMITED,Corporate Total,C,,73235194.0,20343109.0,,,21947275.0,,,,,,2017
ERM POWER LIMITED,Newgen Neerabup Power Station,F,WA,598466.0,166241.0,,,105284.0,0.62,,SWIS,Gas,,2017
ERM POWER LIMITED,Oakey Power Station,F,QLD,479538.0,133205.0,,,90754.0,0.67,,NEM,Gas,,2017
ERM POWER LIMITED,Corporate Total,C,,1078004.0,299446.0,,,196038.0,,,,,,2017
ESPERANCE POWER STATION PTY LTD,Esperance Power Station,F,WA,277401.0,77056.0,,,61447.0,0.8,,Off-grid,Gas,,2017
ESPERANCE POWER STATION PTY LTD,Corporate Total,C,,277401.0,77056.0,,,61447.0,,,,,,2017
ESSENTIAL ENERGY,Essential Energy Generation Facilities,FA,NSW,75.0,21.0,,,123.0,,,NEM,Solar,,2017
ESSENTIAL ENERGY,Corporate Total,C,,75.0,21.0,,,123.0,,,,,,2017
FENGATE EXMOUTH ENERGY SPV PTY LTD,Exmouth Power Station Pty Ltd,F,WA,85648.0,23791.0,,,16793.0,0.71,,Off-grid,Gas,,2017
FENGATE EXMOUTH ENERGY SPV PTY LTD,Corporate Total,C,,85648.0,23791.0,,,16793.0,,,,,,2017
GOLDFIELDS POWER PTY LTD,Parkeston Power Station,F,WA,705838.0,196066.0,,,114018.0,0.58,,SWIS,Gas,,2017
GOLDFIELDS POWER PTY LTD,Corporate Total,C,,705838.0,196066.0,,,114018.0,,,,,,2017
GSP ENERGY PTY LTD,Burrinjuck Power Station,F,NSW,385089.0,106969.0,,,14.0,0.0,,NEM,Hydro,,2017
GSP ENERGY PTY LTD,Hume Power Station,F,NSW,920437.0,255677.0,,,228.0,0.0,,NEM,Hydro,,2017
GSP ENERGY PTY LTD,Keepit Power Station,F,NSW,21499.0,5972.0,,,7.0,0.0,,NEM,Hydro,,2017
GSP ENERGY PTY LTD,Corporate Total,C,,1327025.0,368618.0,,,249.0,,,,,,2017
HWF HOLDCO 1 PTY LTD,HWF1 Pty Ltd,F,SA,1101682.0,306023.0,,,169.0,,,NEM,Wind,,2017
HWF HOLDCO 1 PTY LTD,Corporate Total,C,,1101682.0,306023.0,,,169.0,,,,,,2017
HWF HOLDCO 2 PTY LTD,HWF2 Pty Ltd,F,SA,290242.0,80623.0,,,193.0,,,NEM,Wind,,2017
HWF HOLDCO 2 PTY LTD,Corporate Total,C,,290242.0,80623.0,,,193.0,,,,,,2017
HYDRO POWER PTY LIMITED,Wyangala A,F,NSW,255473.0,70965.0,,,4.0,,,NEM,Hydro,,2017
HYDRO POWER PTY LIMITED,Wyangala B,F,NSW,40485.0,11246.0,,,1.0,,,NEM,Hydro,,2017
HYDRO POWER PTY LIMITED,Corporate Total,C,,295958.0,82211.0,,,5.0,,,,,,2017
HYDRO-ELECTRIC CORPORATION,Bastyan Hydro Power Station,F,TAS,1385273.0,384798.0,,,13.0,,,NEM,Hydro,,2017
HYDRO-ELECTRIC CORPORATION,Butlers Gorge Hydro Power Station,F,TAS,335625.0,93229.0,,,0.0,,,NEM,Hydro,,2017
HYDRO-ELECTRIC CORPORATION,Catagunya Hydro Power Station,F,TAS,807916.0,224421.0,,,17.0,,,NEM,Hydro,,2017
HYDRO-ELECTRIC CORPORATION,Cethana Hydro Power Station,F,TAS,1490365.0,413990.0,,,289.0,,,NEM,Hydro,,2017
HYDRO-ELECTRIC CORPORATION,Cluny Hydro Power Station,F,TAS,224824.0,62451.0,,,16.0,,,NEM,Hydro,,2017
