facility_code,facility_name,lat,lng,timestamp,power_value,emission_value,price_per_mwh,demand_mw,state,fuel_list
MORTLK,Mortlake,-38.062628,142.66633,2025-10-24T13:15:00,269.0,18.6922,137.316,20951.32,VIC,"['Gas', 'Wind']"
MRTLSWF,Mortlake South,-38.147965,142.882246,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,['Wind']
MSTUART,Mt Stuart,-19.337156,146.851239,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,"['Kerosene', 'Diesel']"
MTGELWF,Mt Gellibrand,-38.257657,143.798651,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,['Wind']
MTMILLAR,Mt Millar,-33.619342,136.717568,2025-10-24T13:15:00,18.7,0.0,137.316,20951.32,SA,['Wind']
MURRAY,Murray,-36.245992,148.188552,2025-10-24T13:15:00,752.7001,0.0,137.316,20951.32,QLD,['Diesel']
MUSSELRO,Musselroe,-40.777105,148.006315,2025-10-24T13:15:00,149.5,0.0,137.316,20951.32,TAS,['Wind']
NPPPPS,Pelican Point,-34.764365,138.505399,2025-10-24T13:15:00,148.7213,5.0022,137.316,20951.32,SA,['Gas']
NUMURKSF,Numurkah,-36.159275,145.473891,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,"['Solar', 'Solar']"
OAKEY,Oakey,-27.418207,151.678887,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
OAKEY,Oakey,-27.418207,151.678887,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,"['Gas', 'Solar']"
OAKEY2SF,Oakey 2,-27.402454,151.642576,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Solar']
OAKLAND,Oaklands Hill,-37.679481,142.552995,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,VIC,['Wind']
OSBORNE,Osborne,-34.7977,138.508099,2025-10-24T13:15:00,183.48,6.3387,137.316,20951.32,SA,"['Gas', 'Solar']"
PALOONA,Paloona,-41.28268,146.24858,2025-10-24T13:15:00,29.19,0.0,137.316,20951.32,TAS,['Hydro']
PORTLCN,Port Lincoln,-34.700616,135.80453,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,SA,['Diesel']
PORTWF,Portland,-38.361417,141.38456,2025-10-24T13:15:00,3.7,0.0,137.316,20951.32,VIC,['Wind']
PTINA,Poatina,-41.805073,146.924365,2025-10-24T13:15:00,6.2167,0.0,137.316,20951.32,TAS,['Hydro']
QBYNB,Queanbeyan,-35.339311,149.215101,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,ACT,['Battery']
REECE,Reece,-41.723131,145.136468,2025-10-24T13:15:00,99.3078,0.0,137.316,20951.32,TAS,['Hydro']
REPULSE,Repulse,-42.507987,146.64717,2025-10-24T13:15:00,30.2123,0.0,137.316,20951.32,TAS,['Hydro']
ROMA,Roma,-26.576788,148.839485,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Gas']
ROWALLAN,Rowallan,-41.72957,146.218087,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,TAS,['Hydro']
ROYALLA,Royalla,-35.486052,149.141966,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,ACT,['Solar']
RUBICON,Rubicon,-37.292453,145.818202,2025-10-24T13:15:00,0.495,0.0,137.316,20951.32,VIC,['Hydro']
RUGBYR,Rugby Run,-21.940469,147.880877,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Solar']
SALTCRK,Salt Creek,-37.918698,142.796027,2025-10-24T13:15:00,0.66,0.0,137.316,20951.32,VIC,['Wind']
SAPHWF1,Sapphire,-29.710273,151.44558,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,"['Wind', 'Solar']"
SEBSF,Sebastopol,-34.603287,147.554757,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Solar']
SMTHBES1,Smithfield,-33.849972,150.947448,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,NSW,['Gas']
SNOWSTH,Snowtown South,-33.862624,138.130367,2025-10-24T13:15:00,29.4,0.0,137.316,20951.32,SA,['Wind']
SNOWTOWN,Snowtown,-33.691598,138.166022,2025-10-24T13:15:00,15.6817,0.0,137.316,20951.32,SA,"['Wind', 'Solar']"
SNUG,Snuggery,-37.664996,140.414686,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,SA,['Diesel']
SRSF,Susan River,-25.420275,152.742028,2025-10-24T13:15:00,0.0,0.0,137.316,20951.32,QLD,['Solar']
