facilityName,type,state,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,primaryFuel,year
Royalla Solar Farm,F,ACT,37199.0,,,188.0,,Solar,2017
Jeeralang Power Station,F,VIC,59510.0,,,53038.0,0.78,Gas,2017
Newport Power Station,F,VIC,322211.0,,,191542.0,0.53,Gas,2017
Bald Hills Wind Farm Pty Ltd,F,VIC,352690.0,,,932.0,0.0,Wind,2017
Mumbida Wind Farm Pty Ltd,F,WA,204617.0,,,292.0,0.0,Wind,2017
Albany Wind Farm,F,WA,85900.0,,,23.0,0.0,Wind,2017
Bremer Bay Wind Diesel Power Station,F,WA,1546.0,,,13.0,0.01,Wind,2017
Cockburn Power Station,F,WA,363931.0,,,140394.0,0.39,Gas,2017
Collie Power Station,F,WA,2230763.0,,,2007389.0,0.9,Black Coal,2017
Coral Bay Wind Diesel Power Station,F,WA,3438.0,,,1538.0,0.45,Wind,2017
Denham Wind Farm,F,WA,2190.0,,,0.0,,Wind,2017
Esperance Wind Farm,F,WA,14289.0,,,7.0,0.0,Wind,2017
Hopetoun Wind Diesel Power Station,F,WA,4949.0,,,2310.0,0.47,Wind,2017
Kalbarri Wind Farm,F,WA,4008.0,,,3.0,,Wind,2017
Kalgoorlie Gas Turbine Station,F,WA,343.0,,,322.0,0.94,Gas,2017
Kwinana Power Station,F,WA,660433.0,,,356083.0,0.54,Gas,2017
Muja Power Station,F,WA,5152438.0,,,4744514.0,0.92,Black Coal,2017
Mungarra Gas Turbine Station,F,WA,13262.0,,,9974.0,0.75,Gas,2017
Pinjar Gas Turbine Station,F,WA,511125.0,,,420822.0,0.82,Gas,2017
Ravensthorpe Power Station,F,WA,139.0,,,95.0,0.68,Liquid Fuel,2017
Barcaldine Power Station Facility,F,QLD,3942.0,,,6514.0,1.65,Gas,2017
Energy Impact - Bromelton Peak Generation Plant - Facility,F,QLD,2017.0,,,1945.0,0.76,Liquid Fuel,2017
Energy Impact - Generation - Facility,F,QLD,1244.0,,,876.0,0.7,Liquid Fuel,2017
Cathedral Rocks Wind Farm,F,SA,153188.0,,,174.0,0.0,Wind,2017
Hallett Power Station,F,SA,46253.0,,,50146.0,1.04,Gas,2017
Mt Piper Power Station,F,NSW,7557603.0,,,6594820.0,0.87,Black Coal,2017
Tallawarra Power Station,F,NSW,803031.0,,,316063.0,0.39,Gas,2017
Waterloo Wind Farm,F,SA,309197.0,,,320.0,0.0,Wind,2017
Yallourn Power Station,F,VIC,11473837.0,,,14985752.0,1.29,Brown Coal,2017
Newgen Neerabup Power Station,F,WA,166241.0,,,105284.0,0.62,Gas,2017
Oakey Power Station,F,QLD,133205.0,,,90754.0,0.67,Gas,2017
Esperance Power Station,F,WA,77056.0,,,61447.0,0.8,Gas,2017
Essential Energy Generation Facilities,FA,NSW,21.0,,,123.0,,Solar,2017
Exmouth Power Station Pty Ltd,F,WA,23791.0,,,16793.0,0.71,Gas,2017
Parkeston Power Station,F,WA,196066.0,,,114018.0,0.58,Gas,2017
Burrinjuck Power Station,F,NSW,106969.0,,,14.0,0.0,Hydro,2017
Hume Power Station,F,NSW,255677.0,,,228.0,0.0,Hydro,2017
Keepit Power Station,F,NSW,5972.0,,,7.0,0.0,Hydro,2017
HWF1 Pty Ltd,F,SA,306023.0,,,169.0,,Wind,2017
HWF2 Pty Ltd,F,SA,80623.0,,,193.0,,Wind,2017
Wyangala A,F,NSW,70965.0,,,4.0,,Hydro,2017
Wyangala B,F,NSW,11246.0,,,1.0,,Hydro,2017
Bastyan Hydro Power Station,F,TAS,384798.0,,,13.0,,Hydro,2017
Butlers Gorge Hydro Power Station,F,TAS,93229.0,,,0.0,,Hydro,2017
Catagunya Hydro Power Station,F,TAS,224421.0,,,17.0,,Hydro,2017
Cethana Hydro Power Station,F,TAS,413990.0,,,289.0,,Hydro,2017
Cluny Hydro Power Station,F,TAS,62451.0,,,16.0,,Hydro,2017
Devils Gate Hydro Power Station,F,TAS,287216.0,,,15.0,,Hydro,2017
Fisher Hydro Power Station,F,TAS,237569.0,,,2.0,,Hydro,2017
Flinders Island Power Station,F,TAS,5242.0,,,2877.0,0.55,Wind,2017
Gordon Hydro Power Station,F,TAS,403399.0,,,42.0,,Hydro,2017
John Butters Hydro Power Station,F,TAS,737642.0,,,306.0,,Hydro,2017
King Island Power Station,F,TAS,13458.0,,,4972.0,0.37,Wind,2017
Lake Echo Hydro Power Station,F,TAS,53879.0,,,15.0,,Hydro,2017
Lake Margaret Lower Hydro Power station,F,TAS,14689.0,,,1.0,,Hydro,2017
Lake Margaret Upper Hydro Power Station,F,TAS,48129.0,,,3.0,,Hydro,2017
Lemonthyme Hydro Power Station,F,TAS,286538.0,,,31.0,,Hydro,2017
Liapootah Hydro Power Station,F,TAS,435138.0,,,141.0,,Hydro,2017
Mackintosh Hydro Power Station,F,TAS,403216.0,,,110.0,,Hydro,2017
Meadowbank Hydro Power Station,F,TAS,184230.0,,,15.0,,Hydro,2017
Paloona Hydro Power Station,F,TAS,44406.0,,,17.0,,Hydro,2017
Parangana Hydro Power Station,F,TAS,3399.0,,,0.0,,Hydro,2017
Poatina Hydro Power Station,F,TAS,754030.0,,,1202.0,,Hydro,2017
Reece Hydro Power Station,F,TAS,1031386.0,,,1209.0,,Hydro,2017
Repulse Hydro Power Station,F,TAS,144245.0,,,7.0,,Hydro,2017
Rowallan Hydro Power Station,F,TAS,49918.0,,,0.0,,Hydro,2017
Tamar Valley Power Station,F,TAS,793836.0,,,329551.0,0.41,Gas,2017
Tarraleah Hydro Power Station,F,TAS,551043.0,,,73.0,,Hydro,2017
Tods Corner Hydro Power Station,F,TAS,1264.0,,,6.0,,Hydro,2017
Trevallyn Hydro Power Station,F,TAS,439575.0,,,36.0,,Hydro,2017
Tribute Hydro Power Station,F,TAS,245559.0,,,37.0,,Hydro,2017
Tungatinah Hydro Power Station,F,TAS,531869.0,,,90.0,,Hydro,2017
Wayatinah Hydro Power Station,F,TAS,232238.0,,,26.0,,Hydro,2017
Wilmot Hydro Power Station,F,TAS,133227.0,,,32.0,,Hydro,2017
Alinta Wind Farm,F,WA,345628.0,,,537.0,0.0,Wind,2017
Capital East Solar Farm,F,NSW,97.0,,,6.0,,Solar,2017
Capital Wind Farm,F,NSW,354643.0,,,1069.0,0.0,Wind,2017
