facility_code,facility_name,lat,lng
NBHWF,North Brown Hill,-33.228116,138.716888
NORTHGT,Northern,,
NORTHP,Northern,-32.5429,137.7874
NUMURKSF,Numurkah,-36.159275,145.473891
NYNGAN,Nyngan,-31.563191,147.074195
OAKEY,Oakey,-27.418207,151.678887
OAKEY2SF,Oakey 2,-27.402454,151.642576
OAKEY1SF,Oakey Solar Farm,-27.402454,151.642576
OAKLAND,Oaklands Hill,-37.679481,142.552995
OCPS,Oaky Creek,-23.048717,148.484462
OAKY2,Oaky Creek 2,-23.048717,148.484462
0ORANABESS,Orana,-32.530421,148.962923
OSBORNE,Osborne,-34.7977,138.508099
PALOONA,Paloona,-41.28268,146.24858
PSF,Parkes,-33.113056,148.076372
PEDLER,Pedler Creek,-35.202388,138.501214
NPPPPS,Pelican Point,-34.764365,138.505399
PIBESS,Phillip Island,-38.483293,145.22488
PINDARI,Pindari,-29.388034,151.244774
PIONEER,Pioneer Sugar Mill,-19.557546,147.330825
PLAYF,Playford B,-32.538886,137.781822
PTINA,Poatina,-41.805073,146.924365
PAREPW,Port Augusta Energy Park,-32.595609,137.885629
0PLWF,Port Latta,-40.871168,145.357293
PORTLATT,Port Latta,-40.857362,145.384824
PORTLCN,Port Lincoln,-34.700616,135.80453
STANVAC,Port Stanvac,-35.110345,138.490872
PORTWF,Portland,-38.361417,141.38456
QUARANTN,Quarantine,-34.779074,138.522455
QUERIVER,Que River,-41.610502,145.544305
QBYNB,Queanbeyan,-35.339311,149.215101
QP,Quorn Park,-33.079517,148.089521
RACOMIL,Racecourse Mill,-21.163842,149.135738
RANGEB,Rangebank,-38.0852,145.259434
REDBANK1,Redbank,-32.58,151.072
REECE,Reece,-41.723131,145.136468
REMOUNT,Remount,-41.398447,147.1495
REPULSE,Repulse,-42.507987,146.64717
0RIVERINASF,Riverina,-34.309852,146.105225
RESS,Riverina 1,-34.646668,146.034982
RIVNB,Riverina 2,-34.646624,146.035025
ROCHEDAL,Rochedale,-27.555798,153.123155
RPCG,Rocky Point Cogen,-27.733564,153.326464
EDLRGNRD,Roghan Road,-27.342062,153.049494
ROMA,Roma,-26.576788,148.839485
RRSF,Ross River,-19.425305,146.715686
ROWALLAN,Rowallan,-41.72957,146.218087
ROYALLA,Royalla,-35.486052,149.141966
RUBICON,Rubicon,-37.292453,145.818202
RUGBYR,Rugby Run,-21.940469,147.880877
RYANCWF,Ryan Corner,-38.271156,142.14003
RYEPARK,Rye Park,-34.63317,148.95364
SALTCRK,Salt Creek,-37.918698,142.796027
SAPHWF1,Sapphire,-29.710273,151.44558
SEBSF,Sebastopol,-34.603287,147.554757
SHEP1,Shepparton,-36.322223,145.379291
SHOALHAV,Shoalhaven,-34.733085,150.4667
SHOAL,Shoalhaven Starches,-34.8547,150.6138
STWF,Silverton,-31.86095,141.296349
SITHE,Smithfield,-33.850023,150.950051
SMTHBES1,Smithfield,-33.849972,150.947448
SNAPPER,Snapper Point,-34.76452,138.50819
SNOWTOWN,Snowtown,-33.691598,138.166022
SNOWNTH,Snowtown North,-33.756479,138.143043
SNOWSTH,Snowtown South,-33.862624,138.130367
SNOWY4,Snowy,,
SNOWY5,Snowy,,
0SNOWY20,Snowy 2.0,-35.745207,148.653852
SNUG,Snuggery,-37.664996,140.414686
AGLSOM,Somerton,-37.630949,144.953098
SKSF,South Keswick,-32.27286,148.649836
STHBKTEC,Southbank Institute Of Technology,-27.480589,153.020999
SVALE,Springvale,-37.973375,145.139695
STGEORGE,St George Leagues Club,-33.974819,151.129354
SLDCBLK,St Leonards Data Centre,-41.440151,147.174429
0STANBESS,Stanwell,-23.513568,150.31811
STANWELL,Stanwell,-23.507501,150.317884
STAPYLTON,Stapylton,-27.736111,153.245931
STARFHILL,Starfish Hill,-35.578983,138.139653
STOCKYD,Stockyard Hill,-37.53568,143.252548
STUBSF,Stubbo,-32.26254,149.589068
0SUMMFBESS,Summerfield,-34.9538,139.21502
SMCSF,Sun Metals,-19.437318,146.696015
SUNCOAST,Suncoast Gold Macadamias,,
SUNRSF1,Sunraysia,-34.821489,143.50916
VALDORA,Sunshine Coast,-26.560799,153.025947
SUNTPSF,Suntop,-32.5742,148.860469
SNB1,Supernode,-27.458521,153.111745
0SUPERNODE2,Supernode 2,-27.449227,153.112538
SRSF,Susan River,-25.420275,152.742028
0SWANBBESS,Swanbank,-27.65619,152.817139
SWAN_B,Swanbank B,-27.655286,152.818644
SWAN_E,Swanbank E,-27.655286,152.818644
TABMILL2,Tableland Mill,-17.119813,145.34513
